#CORONAVIRUS
"#Coronavirus #Covid19 
🇺🇸 Trump says he's been taking hydroxychloroquine for a week and a half.
🤔🤦"
Chaos hits France again as eight schools in French city forced to close again after a child catches #coronavirus a WARNING to the @BorisJohnson govt before he unleashes the open school without “ContactTrack Trace” is in place on U.K. schools
.@EPAAWheeler  Public health experts will STILL be dealing with a literal pandemic on May 18th. They don’t have time to put that on hold to comment on your attempt to gut science and put our health and environment in greater danger. #coronavirus #COVID19
Data now shows ZERO active cases in Mildura. The case included in DHHS's #coronavirus data on Sunday was removed from Mildura's LGA in the update released last night. We have not received an explanation as to why this changed three times in the space of three days.
"So @GregAbbott_TX announces Monday that #Texas is in ""phase 2"" of his plan to reopen. Just two days after the state recorded its highest single-day total of #coronavirus cases (1",801)," one of the industries that can reopen: massage parlors.

WHAT COULD POSSIBLY GO WRONG??"
Gonna run a book on when the kids really will go back to school,"  after the Govt follow the Scientist’s advice. 

I’ll go first

34th of May (it’s a Tuesday I think) #coronavirus #COrVID19 #schoolsreopening"
Blackmailing female hospital staff that they will post their photos on porn websites, shitting and urinating  in #coronavirus wards, huddling together in Corona wards and doing nomaj, throwing food provided by the hospitals and demanding #biryani, hiding inside houses or (3/n)
Anything Matt Hancock says on contact tracing lacks credibility, given his previous long record of overpromising on #coronavirus. And #Newsnight is confirming he's FOS, as ever.
"We all must play our role to put an end to this. 
 #COVIDisAPandemic  #CoronaVirus"
So NOW 45 claims he has been taking #Hydroxychloroquine. I can't with this guy! The desperation coming from him is disturbing and sick. He will say anything &amp; allow thousands of people to die just to be reelected. God Help us ALL! #Trump #coronavirus
"@AmandaOwen8 
I think your family &amp; other #farmers #families should be nicely studied.

Sure you must have amazing #ImmuneSystems

Resilient to #coronavirus &amp; so much more.

Are you ever really ill ?

@1GarethWynJones @woolismybread @FionaJDavies @BBCFarmingToday @LSHTM @RSTMH"
Oh look! #newsnight are already slagging us #contacttracers off already because we are still in training. Jesus wept. Give us a chance like! #covid19 #covid19uk #covid19contacttracing #Coronavirus #coronavirusuk
In front of the world’s silence, Yemen faces two dangerous threats to the life and existence of the Yemeni people on the earth ," including:
1- #Saudi #Emirati military aggression and the economic embargo on #Yemen.
2- #Coronavirus", cholera and deadly diseases
"Where is @VP Mike Pence?

Why hasn’t he addressed the nation in recent days? Hmm

Why isn’t the #Coronavirus Task Force meeting? Clearly there’s enough concern about the virus still if @realDonaldTrump is allegedly taking an unproven drug to prevent #COVID19‼️

We Have Questions!"
Thanks to #Coronavirus the disgusting fiction of #Brazil is finally unravelling, with unforeseen consequences for the future of #LatinAmerica
Running #coronavirus equations,"
in harmony with cognitive core
and what is entrenched in secondary subliminal"," 
too", deciphering radiation matrix,"
but the mind must be allowed a respite"," 
a temporary state of grace. 

#amwriting #poem #COVID19"
"400 new cases and 63 new deaths in Ecuador 

[22:51 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"
If #Trump is shown to have shares in #hydroxychloriquine manufacturers, it will be the biggest and most naked abuse of office in a long time!! #Covid_19 #covidUS #CovidUSA #coronavirus #PresidentTrump #ovaloffice #WhiteHouse #POTUS
"||UK COVID-19 PREDICTIONS🇬🇧||
I have done some intense research and have predicted that the UK has around 3.1-7 MILLION CASES

#covid #coronavirus #survivor2020 #lockdown2020 #corona #covid19 #staysafe #stayhome  #lockdown4guidelines"
Govt getting the message they can't just order people back to work with a pandemic raging and expect to be obeyed. Hence why they're now pushing necessary test, track+trace to actually tackle #coronavirus so hard #Newsnight
"Ninety
Thousand
One
Hundred
Ninety
Three 
#coronavirus U.S. deaths 
John"," our brother-in-law died on April 6th 
Every #POTUS faces crises. Every one! As President Harry Truman said: ""The buck stops here"" DJT always blames others"
Hey Triple AAA,"

@LibertyMutual is refunding their customers part of their auto insurance premiums due to #COVID19. What are you going to do? 

@AAA_Travel @AAAnews
#AAA INSURANCE 
#coronavirus"
Another terrible effect of #Coronavirus is the rebirth of war criminal #tonyblair, now on '#newsnight. Has that monster no shame?
President Donald Trump said Monday that he has been taking anti-malaria drug hydroxychloroquine for over a week to prevent #coronavirus infection even though its an unaproven treatment.
Look what have thou brought upon thyself ! U spread blasphemy,"sacrilege and defamed our religion using your ""corona jihad"" thing.
Indeed Allah is the best of planners.
#ZeeNewsSealKaro #CoronaZeehad #sudhirchaudhary #coronavirus"
"A growing cluster of new #coronavirus infections in China’s northeast has sparked a huge new lockdown operation affecting some 108 million people.

Cities in Jilin province have cut off trains and buses"," shut schools and quarantined tens of thousands of people.

#SarsCov2"
Prediction: The @federalreserve has been slowly crashing the #USD since 1913 and will use the #coronavirus as an excuse for the $ crash &amp; @realDonaldTrump will blame 🇨🇳 and not the Fed before #2020election. The @federalreserve and the elite will deflect their monetary scheme.
In the year of hysterical predictions," 
existential", sum zero days,"
equals context:
state of being is endlessly transient"," 
hourly physical decay.

#amwriting #poem #COVID19 #coronavirus"
"Relationship Hacks During COVID-19 #0006:

Engage in a mutual foot massage with one another. You can make it even more pleasurable by warming up a little essential oil", lotion," etc. 

#RelationshipAdvice
#relationshipgoals
#coronavirus 
#COVIDー19 
#LifeHacks 
#relationshiphacks"
I respect #coronavirus 🤞even the international #prophets are 🤐.
@KayleeHartung you are a #hero! #covid19 #coronavirus
@3AW693 @RossAndJohn what is the world coming too, have the @AFL gone mad?...no Hoosh Makundi for the players #worldsgonemad #COVID__19 #coronavirus
"Tomorrow’s daily mail is another attack on  teaching unions stating 22 eu counties have opened schools safely. 
We have the 2nd highest in the world. 
Now they want us to follow EU when we have been doing it spectacularly wrong on our own","  since the start
#COVID19
#coronavirus"
"#Coronavirus @thefive  CCP gives 2BILL to ""fight"" pandemic--Wow the Communist Dictatorship offering $1 for everyone that has or will die because they HID the OUTBREAK", DOWN-PLAYED the severity to keep their trade open and time to stockpile Medical supplies, how thoughtful &amp; kind
"“Some infinities are bigger than other infinities.”
― John Green #Quote
#depressionforums.org   #besafestayhome #coronavirus
#MentalHealthAwarenessMonth"
@JonScottFNC @FoxNews Further, there is broad bipartisan support in Congress for holding China accountable, potentially with sanctions, and for bringing manufacturing of vital goods and essentials back to the United States. #CCP #coronavirus
@Yamiche Or how his son can go on National TV blame black people for dying from the #coronavirus because they are in poor health but yet this Administration has FAILED America by not expanding the Affordable Care Act or Medicaid or his constant #LIES about President @BarackObama
ATTN: low-income New Yorkers, laid-off New Yorkers, essential employees," and healthcare workers who are within a mile or NoHo or Union Square 

If you are hungry","

I want to help you have dinner tonight. Please DM me. 

#ZebrasForChange 
#coronavirus #NYC"
@JonScottFNC @FoxNews As I said in the interview, the Chinese Communist Party must open up fully to international investigators so that we can understand how this global crisis began and unraveled. #CCP #coronavirus
All of these amazing models, timelines, trackers etc. are seriously cool. What would be REALLY cool is using tools like this and being this incredibly focused on I don’t know... gun violence? JUST FUCKING SAYING #coronavirus
"@JaneyGodley @ScotGovFM Links for tweet

@AngusMacNeilSNP
@HannahLind9
@MhairiBlack
@Ianblackford_MP
@NicolaSturgeon
@theSNP
@AlexSalmond
#indyref
#indyref2
#ScotlandsRightToChoose
#DissolveTheUnion
#exBrit
#IamEuropean
#scottishindependence
#FBPE
#CummingsMustGo
#ToriesOut
#coronavirus
#MedalsForHeroes"
In a way, we should be thankful, this awful #coronavirus has shown how totally inept, privileged, and just 'don't care' the leaders of the UK and USA are. Money before life, every time.. Heaven only knows what Franklin and Winston would think, if they were looking down right now?
“The past two months have been draining, both mentally and physically, due to various issues," ranging from a lack of resources to the uncertainty of this disease and its circumstances”. 
#Coronavirus"
